# Stream A2 IC results — 2026-05-28
# Source: atlas.weinstein_a2_ic_results (Supabase, project nanvgbhootvvthjujkvs)
# Universe: nifty 500 stocks tagged Large/Mid/Small in atlas_universe_stocks (STATIC_2026, post-2026-05 snapshot)
# Window: 2018-01-01 to 2026-05-28 (8 yrs); excludes Micro per Q5 lock
# cap_tier source: STATIC (atlas_universe_stocks.tier) — PIT history insufficient (3 days); see weinstein-a2-cap-tier-decision.md
# Base rule: Stage 1 -> Stage 2 (UP) or Stage 3 -> Stage 4 (DOWN) crossover with persist_4w >= 0.6 (relaxed from 0.8)
# Confluences (each event flagged pass/fail):
#   L1: 5d avg vol >= 1.5x 60d avg vol      (pass rate 7-12%)
#   L2: clears prior 13W close-high/low      (pass rate 7-11%)
#   L3: RS_3m trend (improving for UP)       (pass rate 40-49%)
#   L4: stage1/3 persist 12W >= 0.5          (pass rate 33-47%; relaxed from 0.7 in plan)
#   L6: liquidity floor (5cr/2cr/50L)        (pass rate 94-99% — too loose)
#   L5 sector confluence: deferred (no sector RS data wired)
# Subsets: S01..S12 (12 combinations per cell)
# Forward return: excess vs NIFTY 500 over 130 calendar days
# IC: Spearman (CORR between indicator and percent_rank(forward_excess_6m) within partition)
# Signed useful IC: ic_spearman for UP, -ic_spearman for DOWN (higher = better)
# Hit rate: fraction of pass events with forward_excess_6m in expected direction (only among passers)
cap_tier,ma_lookback_weeks,event_type,subset_id,n_all,n_pass,events_per_year,hit_rate,mean_excess_pass,ic_spearman
Large,5,DOWN,S01_base,374,374,46.8,0.5802,-0.020111,
Large,5,DOWN,S02_+L1,374,26,3.3,0.8077,-0.084384,-0.104190
Large,5,DOWN,S03_+L2,374,39,4.9,0.5897,-0.099211,-0.065597
Large,5,DOWN,S04_+L3,374,189,23.6,0.5556,-0.012102,0.081162
Large,5,DOWN,S05_+L4,374,134,16.8,0.6045,-0.022263,-0.014875
Large,5,DOWN,S06_+L6,374,368,46.0,0.5842,-0.021307,-0.050462
Large,5,DOWN,S07_+L1+L2,374,2,0.3,1.0000,-0.361016,-0.085233
Large,5,DOWN,S08_+L1+L3,374,15,1.9,0.6667,0.001704,0.021268
Large,5,DOWN,S09_+L2+L3,374,20,2.5,0.5500,-0.080217,-0.009026
Large,5,DOWN,S10_+L1+L2+L3,374,1,0.1,1.0000,-0.105986,-0.032372
Large,5,DOWN,S11_+L1+L2+L3+L4,374,0,0.0,,,
Large,5,DOWN,S12_+L1+L2+L3+L4+L6,374,0,0.0,,,
Large,5,UP,S01_base,340,340,42.5,0.5765,0.048292,
Large,5,UP,S02_+L1,340,19,2.4,0.6316,0.068787,0.052250
Large,5,UP,S03_+L2,340,56,7.0,0.6786,0.054345,0.046778
Large,5,UP,S04_+L3,340,154,19.3,0.5649,0.030041,-0.063511
Large,5,UP,S05_+L4,340,76,9.5,0.5395,0.029507,-0.040065
Large,5,UP,S06_+L6,340,330,41.3,0.5758,0.045623,-0.015608
