# Stream A3 IC results — 2026-05-28
# Source: atlas.weinstein_a3_ic_results (Supabase, project nanvgbhootvvthjujkvs)
# Universe: nifty 500 stocks tagged Large/Mid/Small in atlas_universe_stocks (STATIC_2026, post-2026-05 snapshot)
# Window: 2018-01-01 to 2026-05-28 (~8 yrs); excludes Micro per Q5 lock
# cap_tier source: STATIC (atlas_universe_stocks.tier) — PIT history insufficient; same fallback as Stream A2
# Base rule (inherited from A2): Stage 1 -> Stage 2 (UP) or Stage 3 -> Stage 4 (DOWN) crossover with persist_4w >= 0.6
# L5 (NEW in A3): sector RS dual-condition per Weinstein rule 6
#   UP:   sector_pctile_now > pctile_4w_ago  AND  pctile_now >= 0.50
#   DOWN: sector_pctile_now < pctile_4w_ago  AND  pctile_now <= 0.50
#   Source: atlas.v_sector_rs_rank_daily (PERCENT_RANK over 30 sectors per date)
# Universe restricted to events WHERE conf_l5_sector_rs IS NOT NULL (i.e., sector RS computable at event_date and 4w prior)
#   => Strictly smaller event population than A2 (A2 used full event panel). Subset 'A2_base' here represents the A2 baseline
#      RECOMPUTED on this L5-eligible subset — NOT the raw A2 CSV row. Compare against A2 CSV S01_base/S06_+L6 for reference.
# Subsets (6 total):
#   A2_base       Base alone (A2 baseline, L5-eligible subset)
#   A3_L5         Base + L5
#   A3_L5_L6      Base + L5 + L6 (liquidity floor — A2's "best" structurally; L6 is a no-op given universe pre-filter)
#   A3_L5_L4      Base + L5 + L4 (base width — A2's Small DOWN winner)
#   A3_L5_L2      Base + L5 + L2 (prior 13W close extreme clearance — strongest IC lifter when fires, rare)
#   A3_L5_L2_L4   Base + L5 + L2 + L4
# 6 subsets × 3 cap_tiers × 4 lookbacks × 2 event_types = 144 rows
# IC: Spearman (CORR between indicator and percent_rank(forward_excess_6m) within partition)
# IC for A2_base is NULL by construction (constant 1 indicator)
# Signed useful IC: ic_spearman for UP, -ic_spearman for DOWN (higher = better)
# Hit rate: fraction of pass events with forward_excess_6m in expected direction
cap_tier,ma_lookback_weeks,event_type,subset_id,n_all,n_pass,events_per_year,hit_rate,mean_excess_pass,ic_spearman
Large,5,DOWN,A2_base,353,353,44.1,0.5921,-0.024128,
Large,5,DOWN,A3_L5,353,116,14.5,0.5259,-0.016839,0.080433
Large,5,DOWN,A3_L5_L2,353,13,1.6,0.6154,-0.131493,-0.040592
Large,5,DOWN,A3_L5_L2_L4,353,6,0.8,0.6667,-0.083506,-0.048606
Large,5,DOWN,A3_L5_L4,353,48,6.0,0.5625,-0.023540,0.012085
Large,5,DOWN,A3_L5_L6,353,113,14.1,0.5398,-0.021727,0.060007
Large,5,UP,A2_base,317,317,39.6,0.5741,0.048823,
Large,5,UP,A3_L5,317,70,8.8,0.6571,0.079490,0.111862
Large,5,UP,A3_L5_L2,317,18,2.3,0.8333,0.129323,0.141360
Large,5,UP,A3_L5_L2_L4,317,7,0.9,0.7143,0.073574,0.026743
Large,5,UP,A3_L5_L4,317,25,3.1,0.6000,0.083991,0.047451
Large,5,UP,A3_L5_L6,317,67,8.4,0.6716,0.082394,0.117028
Large,10,DOWN,A2_base,193,193,24.1,0.5803,-0.002822,
Large,10,DOWN,A3_L5,193,60,7.5,0.6667,-0.044982,-0.101267
Large,10,DOWN,A3_L5_L2,193,3,0.4,0.3333,0.021388,0.045108
Large,10,DOWN,A3_L5_L2_L4,193,0,0.0,,,
Large,10,DOWN,A3_L5_L4,193,20,2.5,0.8000,-0.097878,-0.160199
Large,10,DOWN,A3_L5_L6,193,60,7.5,0.6667,-0.044982,-0.101267
Large,10,UP,A2_base,233,233,29.1,0.6094,0.062261,
Large,10,UP,A3_L5,233,57,7.1,0.6316,0.041573,-0.012914
Large,10,UP,A3_L5_L2,233,6,0.8,0.5000,0.065474,-0.025783
Large,10,UP,A3_L5_L2_L4,233,3,0.4,0.6667,-0.026636,-0.036790
Large,10,UP,A3_L5_L4,233,22,2.8,0.5909,0.026192,-0.061755
Large,10,UP,A3_L5_L6,233,57,7.1,0.6316,0.041573,-0.012914
Large,20,DOWN,A2_base,129,129,16.1,0.5581,-0.004384,
Large,20,DOWN,A3_L5,129,30,3.8,0.5667,0.019358,0.118755
Large,20,DOWN,A3_L5_L2,129,0,0.0,,,
Large,20,DOWN,A3_L5_L2_L4,129,0,0.0,,,
Large,20,DOWN,A3_L5_L4,129,16,2.0,0.6875,0.005318,0.010737
Large,20,DOWN,A3_L5_L6,129,30,3.8,0.5667,0.019358,0.118755
Large,20,UP,A2_base,179,179,22.4,0.6369,0.077718,
Large,20,UP,A3_L5,179,43,5.4,0.7674,0.092597,0.098950
Large,20,UP,A3_L5_L2,179,2,0.3,1.0000,0.223874,0.094630
Large,20,UP,A3_L5_L2_L4,179,1,0.1,1.0000,0.109158,0.029011
Large,20,UP,A3_L5_L4,179,19,2.4,0.8421,0.106758,0.097929
Large,20,UP,A3_L5_L6,179,39,4.9,0.7436,0.081521,0.063382
Large,30,DOWN,A2_base,110,110,13.8,0.5364,-0.027133,
Large,30,DOWN,A3_L5,110,30,3.8,0.5000,0.001097,0.084856
Large,30,DOWN,A3_L5_L2,110,6,0.8,0.6667,0.003537,0.042865
Large,30,DOWN,A3_L5_L2_L4,110,4,0.5,0.7500,-0.002629,0.026001
Large,30,DOWN,A3_L5_L4,110,16,2.0,0.5625,0.010038,0.077146
Large,30,DOWN,A3_L5_L6,110,30,3.8,0.5000,0.001097,0.084856
Large,30,UP,A2_base,138,138,17.3,0.5435,0.061165,
Large,30,UP,A3_L5,138,39,4.9,0.4872,0.051173,-0.068073
Large,30,UP,A3_L5_L2,138,3,0.4,0.3333,0.019520,0.003118
Large,30,UP,A3_L5_L2_L4,138,2,0.3,0.0000,-0.017973,-0.036530
Large,30,UP,A3_L5_L4,138,19,2.4,0.3684,-0.002468,-0.097930
Large,30,UP,A3_L5_L6,138,38,4.8,0.4737,0.043067,-0.091218
Mid,5,DOWN,A2_base,520,520,65.0,0.5923,-0.030631,
Mid,5,DOWN,A3_L5,520,153,19.1,0.6209,-0.040689,-0.022814
Mid,5,DOWN,A3_L5_L2,520,10,1.3,0.6000,0.006364,0.047295
Mid,5,DOWN,A3_L5_L2_L4,520,4,0.5,0.7500,0.029277,0.035339
Mid,5,DOWN,A3_L5_L4,520,57,7.1,0.5965,-0.048025,-0.024543
Mid,5,DOWN,A3_L5_L6,520,140,17.5,0.6286,-0.041579,-0.027987
Mid,5,UP,A2_base,496,496,62.0,0.5524,0.060267,
Mid,5,UP,A3_L5,496,145,18.1,0.5931,0.083244,0.073912
Mid,5,UP,A3_L5_L2,496,30,3.8,0.5333,0.071513,0.016244
Mid,5,UP,A3_L5_L2_L4,496,14,1.8,0.5000,0.068063,-0.004336
Mid,5,UP,A3_L5_L4,496,47,5.9,0.6596,0.096755,0.069543
Mid,5,UP,A3_L5_L6,496,141,17.6,0.5816,0.081789,0.065477
Mid,10,DOWN,A2_base,312,312,39.0,0.6122,-0.042947,
Mid,10,DOWN,A3_L5,312,97,12.1,0.5567,-0.021378,0.075615
Mid,10,DOWN,A3_L5_L2,312,9,1.1,0.7778,-0.054423,-0.007548
Mid,10,DOWN,A3_L5_L2_L4,312,2,0.3,1.0000,-0.152517,-0.058414
Mid,10,DOWN,A3_L5_L4,312,40,5.0,0.5500,0.005354,0.095162
Mid,10,DOWN,A3_L5_L6,312,88,11.0,0.5568,-0.020652,0.076076
Mid,10,UP,A2_base,302,302,37.8,0.5695,0.075668,
Mid,10,UP,A3_L5,302,91,11.4,0.6044,0.108028,0.068252
Mid,10,UP,A3_L5_L2,302,9,1.1,0.7778,0.319371,0.113585
Mid,10,UP,A3_L5_L2_L4,302,1,0.1,1.0000,0.358876,0.074380
Mid,10,UP,A3_L5_L4,302,30,3.8,0.5667,0.063494,-0.005206
Mid,10,UP,A3_L5_L6,302,86,10.8,0.6047,0.101862,0.063541
Mid,20,DOWN,A2_base,200,200,25.0,0.6150,-0.028215,
Mid,20,DOWN,A3_L5,200,61,7.6,0.6230,-0.036000,-0.006490
Mid,20,DOWN,A3_L5_L2,200,1,0.1,1.0000,-0.105741,-0.034993
Mid,20,DOWN,A3_L5_L2_L4,200,0,0.0,,,
Mid,20,DOWN,A3_L5_L4,200,21,2.6,0.5714,0.006826,0.037150
Mid,20,DOWN,A3_L5_L6,200,55,6.9,0.6182,-0.042074,-0.010571
Mid,20,UP,A2_base,232,232,29.0,0.5603,0.076458,
Mid,20,UP,A3_L5,232,54,6.8,0.5926,0.080272,-0.025434
Mid,20,UP,A3_L5_L2,232,3,0.4,0.6667,0.068542,0.015096
Mid,20,UP,A3_L5_L2_L4,232,1,0.1,1.0000,0.106772,0.033894
Mid,20,UP,A3_L5_L4,232,26,3.3,0.5769,0.056420,-0.024891
Mid,20,UP,A3_L5_L6,232,52,6.5,0.6154,0.086977,-0.008489
Mid,30,DOWN,A2_base,182,182,22.8,0.6154,-0.019192,
Mid,30,DOWN,A3_L5,182,64,8.0,0.6406,-0.027734,-0.017522
Mid,30,DOWN,A3_L5_L2,182,8,1.0,0.8750,-0.020200,0.020917
Mid,30,DOWN,A3_L5_L2_L4,182,4,0.5,1.0000,-0.064053,-0.037806
Mid,30,DOWN,A3_L5_L4,182,29,3.6,0.5517,-0.027140,0.007572
Mid,30,DOWN,A3_L5_L6,182,58,7.3,0.6724,-0.031501,-0.042419
Mid,30,UP,A2_base,167,167,20.9,0.5749,0.040907,
Mid,30,UP,A3_L5,167,44,5.5,0.5000,-0.019418,-0.151136
Mid,30,UP,A3_L5_L2,167,3,0.4,0.6667,0.074621,0.023380
Mid,30,UP,A3_L5_L2_L4,167,2,0.3,0.5000,0.111097,0.042250
Mid,30,UP,A3_L5_L4,167,18,2.3,0.3333,-0.039358,-0.161420
Mid,30,UP,A3_L5_L6,167,40,5.0,0.5000,-0.001941,-0.141445
Small,5,DOWN,A2_base,767,767,95.9,0.6154,-0.022759,
Small,5,DOWN,A3_L5,767,217,27.1,0.6406,-0.040594,-0.021414
Small,5,DOWN,A3_L5_L2,767,30,3.8,0.6667,-0.080881,-0.042554
Small,5,DOWN,A3_L5_L2_L4,767,11,1.4,0.7273,-0.066142,-0.049428
Small,5,DOWN,A3_L5_L4,767,70,8.8,0.7143,-0.057547,-0.060973
Small,5,DOWN,A3_L5_L6,767,209,26.1,0.6316,-0.037829,-0.012326
Small,5,UP,A2_base,629,629,78.6,0.5485,0.074570,
Small,5,UP,A3_L5,629,196,24.5,0.5816,0.069870,0.021343
Small,5,UP,A3_L5_L2,629,28,3.5,0.5714,0.130599,0.039822
Small,5,UP,A3_L5_L2_L4,629,4,0.5,0.2500,0.115750,-0.019826
Small,5,UP,A3_L5_L4,629,38,4.8,0.5526,0.114217,0.015104
Small,5,UP,A3_L5_L6,629,187,23.4,0.5775,0.066896,0.017298
Small,10,DOWN,A2_base,520,520,65.0,0.6808,-0.049846,
Small,10,DOWN,A3_L5,520,144,18.0,0.7014,-0.045625,-0.021100
Small,10,DOWN,A3_L5_L2,520,9,1.1,0.6667,0.029702,-0.008694
