cap_tier,lookback_weeks,stage,n_obs,avg_excess,sd_excess,pool_n_obs,ic_pearson_pooled
Large,5,1,2473,0.032129,0.267385,27179,-0.016145
Large,5,2,13714,0.050256,0.324937,27179,-0.016145
Large,5,3,2324,0.023668,0.247339,27179,-0.016145
Large,5,4,8668,0.034391,0.298222,27179,-0.016145
Large,10,1,3097,0.016965,0.257148,29453,-0.020739
Large,10,2,14979,0.056227,0.327559,29453,-0.020739
Large,10,3,3091,0.028763,0.254859,29453,-0.020739
Large,10,4,8286,0.027618,0.294075,29453,-0.020739
Large,20,1,3842,0.023728,0.254544,31021,-0.036791
Large,20,2,15959,0.059773,0.325965,31021,-0.036791
Large,20,3,3785,0.029526,0.240193,31021,-0.036791
Large,20,4,7435,0.016283,0.321896,31021,-0.036791
Large,30,1,4295,0.035274,0.280181,31321,-0.043081
Large,30,2,16144,0.058616,0.316125,31321,-0.043081
Large,30,3,3905,0.022023,0.250276,31321,-0.043081
Large,30,4,6977,0.015662,0.326872,31321,-0.043081
Mid,5,1,2937,0.034465,0.293696,36358,-0.016902
Mid,5,2,17642,0.064516,0.397447,36358,-0.016902
Mid,5,3,2938,0.031379,0.356237,36358,-0.016902
Mid,5,4,12841,0.040990,0.487287,36358,-0.016902
Mid,10,1,3584,0.030333,0.340906,39556,-0.016139
Mid,10,2,19454,0.066739,0.372994,39556,-0.016139
Mid,10,3,3753,0.024916,0.343576,39556,-0.016139
Mid,10,4,12765,0.042076,0.475245,39556,-0.016139
Mid,20,1,4469,0.030670,0.283801,41677,-0.011418
Mid,20,2,20516,0.067401,0.363374,41677,-0.011418
Mid,20,3,4655,0.031450,0.311302,41677,-0.011418
Mid,20,4,12037,0.044549,0.546929,41677,-0.011418
Mid,30,1,4961,0.040354,0.345364,41688,-0.013074
Mid,30,2,20380,0.069495,0.354001,41688,-0.013074
Mid,30,3,5332,0.036473,0.352189,41688,-0.013074
Mid,30,4,11015,0.046516,0.560771,41688,-0.013074
Small,5,1,3710,0.041385,0.362661,52981,-0.013443
Small,5,2,24818,0.083841,0.455242,52981,-0.013443
Small,5,3,3956,0.030490,0.367289,52981,-0.013443
Small,5,4,20497,0.057034,0.773265,52981,-0.013443
Small,10,1,4566,0.038341,0.432122,57853,-0.012613
Small,10,2,27536,0.092672,0.446824,57853,-0.012613
Small,10,3,4919,0.013166,0.341014,57853,-0.012613
Small,10,4,20832,0.063137,0.837934,57853,-0.012613
Small,20,1,5509,0.031183,0.369037,60691,-0.014338
Small,20,2,28803,0.094253,0.426637,60691,-0.014338
Small,20,3,6129,0.020550,0.375544,60691,-0.014338
Small,20,4,20250,0.058223,0.831764,60691,-0.014338
Small,30,1,6157,0.019216,0.355366,60497,-0.011878
Small,30,2,28963,0.102414,0.431650,60497,-0.011878
Small,30,3,6666,0.032114,0.482474,60497,-0.011878
Small,30,4,18711,0.059691,0.852341,60497,-0.011878
